epoch,train_accuracy,val_accuracy
1,0.30327481031417847,0.517110288143158
2,0.5538680553436279,0.6292775869369507
3,0.6492643356323242,0.7110266089439392
4,0.6915045380592346,0.7319391369819641
5,0.7365922927856445,0.7433460354804993
6,0.7712387442588806,0.7490494251251221
7,0.7816801071166992,0.7737642526626587
8,0.7916468977928162,0.7832699418067932
9,0.808732807636261,0.7756654024124146
10,0.8186995983123779,0.7851710915565491
11,0.8338870406150818,0.7870722413063049
12,0.8414807915687561,0.7832699418067932
13,0.8481252789497375,0.7984790802001953
14,0.85666823387146,0.7908745408058167
15,0.85666823387146,0.7965779304504395
