epoch,train_loss,val_loss
1,2.2147297859191895,1.64896559715271
2,1.5168505907058716,1.2981235980987549
3,1.2446115016937256,1.1021784543991089
4,1.0836904048919678,0.9978967308998108
5,0.9704934358596802,0.9289824366569519
6,0.8693951964378357,0.8728331327438354
7,0.8101739287376404,0.8116930723190308
8,0.7596449851989746,0.7744913697242737
9,0.7025384306907654,0.7552459239959717
10,0.6767228841781616,0.7199066877365112
11,0.6369748711585999,0.7124758958816528
12,0.6127371788024902,0.6925538182258606
13,0.5894933342933655,0.6706662178039551
14,0.548917293548584,0.6718523502349854
15,0.5438046455383301,0.6535495519638062
